Conversation,Summaries,bart_summary
"did you watch the old-fashioned wrestling game last night? yes, of course. and i'm amazed the those karate and judo boys were so helpless before the wrestlers. you bet. the wrestlers had got sound defences and they simply couldn't make it.",The wrestlers performed well against karate and judo practitioners due to their effective defenses.,Did you see the wrestling match between Japan and the United States on Saturday night?
"do you mind if i get a lift in your car, please? i don  t see any problem, only the car is a bit old. oh you  re so kind! get in.",Person A asks Person B for a ride and receives permission.,"Do you mind if i get a lift in your car, please?"
"fred, can you tell me how i can open my qq zone? click your right key of mouse and choose qq zone. well, i have to provide some of my information, right? yep! the nick name for your zone, address, gender and so on. some of them are privacy, so you have the right to keep secret here. all information is filled in and now i can design my zone. you can choose one type to make it as your background, and then find a music player and put your favorite songs into it, so your visitors can enjoy the music after entering into your zone. now everything is ok. i can write my blog, right? certainly. ( half an hour, janice begins shouting excitedly. ) what's the matter with you? look! david gives his following-comment on my first blog. he is my first visitor.","Janice sets up her QQ Zone by providing information such as nickname, address, and gender. She then designs her zone by choosing a background and adding music to play for visitors. After completing her zone, she can write her blog and shares it with others, including David who becomes her first visitor after leaving a comment.","My name is janice and i want to write a blog about music, so i'm going to set up a qq zone on my blog."
"do you remember tina, my good friend? yes. she just broke up with her boyfriend. well, that happens. i hope she is all right. but the problem is she and her ex-boyfriend are working in the same department. it is somehow embarrassing for them to see each other everyday. that is the down side of an office romance. i hope their work is not affected by the emotional stress. the boss must be very annoyed if that will be the case. well, tina says she would be able to handle it and concentrate on her own work, easier set them done. but working harder and concentrating only on the job might well helped to overcome the initial stress of the breakup.","Tina's friend broke up with their boyfriend, who works in the same department. The situation is embarrassing for both, and there's concern about how it may affect their work performance.","In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at the downs side of office romance."
"hi bill, i saw your grandma yesterday. oh where was that? i was running around the track at my college and there she was walking around the same track. grannie always tries to stay fit and healthy. she is always making us kids eat the proper foods. well, it pays off for her. how old is she anyway? she will be 86 next month. that is truly amazing!","Bill's grandma was spotted at his college track, where she was staying fit and healthy; she'll turn 86 next month, which is remarkable.","A few days ago, I was talking to my friend Bill and he was telling me about his grandmother, who is now in her 90s."
what time shall i pick you up? how about 6:30? that'll be fine. see you soon.,"Person A agrees to meet at 6:30 PM, confirming the plan.","I've got to go, I've got some work to do, but I'll be back later."
"hi, zhengjun, what make you so happy. you know what, i've just got a new job with a computer company. oh, congratulations!","Zhengjun shares news of his recent job change to a computer company, which others congratulate him on.","A few days ago, I was talking to a friend of mine, and she told me that she was really happy."
"hi, linda. i haven't seen you for ages. yes. i miss you very much. so do i. have you graduated from college? yes. i graduated last year and got a job in a press.","The conversation is about catching up with an old friend, Linda, after a long time. Both parties express their missed each other and share updates - one has recently graduated from college and now works in a press.","A letter from a young woman to her mother, who has died after a long illness, has been published in the New York Times."
"has the train come yet? no, i  ve been waiting for ages. it  s so unreliable. i  ve been late for my meetings all this week. yes, me too. i think i  ve lost some important clients recently because of this train! yes, my customers have started to complain too! oh look! here it comes now!","Two people share their frustration with an unreliable train service, which has caused them to be late for meetings and lose clients.","In this week's edition of the Newsround Q&A, we ask you to tell us what you think about the train service in your town."
"jenny is going to marry another man next month. yes, i know. but, how can you be so calm. you loved her so much. at least i  m the one who rates with her. i  m glad we can still be friends.","Jenny will marry another man soon, causing concern about her emotional state given her past love for him.","Jenny and I have been talking for hours about what to do next, and she has told me that she wants to move on."
"what's your favorite sport? basketball, i'm a basketball fan.",Person A enjoys basketball.,What is your favourite sport and how would you like to see it change over time?
"hello, jane. what do you do in your spare time? well, nothing special, reading, watching tv, walking, and so on. don't you have any hobbies, like stamp collecting or things like that? no, i don't have any hobbies. how about you? i like collecting antiques. it's expensive, but it's a lot of fun. really? how many collections do you have? so far i have more than 500 collections. among those collections, which is the most expensive? a set of ancient china. it is really invaluable.","Person A and Jane discuss their spare time activities. Person A engages in routine leisure activities like reading, watching TV, and walking. Jane has no hobbies but enjoys collecting antiques, having over 500 collections, with the most valuable being a set of ancient china.","BBC Radio 4's Today programme has been talking to Jane, a collector of antiques, about her hobby."
"it seems to me that everything is going digital nowadays. yes. speaking of digital wares, i bought a digital camera last week. cool! what brand a sony. it's only one third the size of my old camera and looks rather smart. what about the quality? superb! it's a 4 megapixel one and the photos it takes are very vivid and clear.","The speaker notes that everything is going digital, then shares their experience buying a digital camera from Sony. They praise its small size, sleek design, and excellent photo quality, highlighting its 4 megapixel resolution and vivid images.",It's that time of the year again when we all look forward to the advent of the new year and the arrival of the latest gadgets.
"it's four o'clock already. i hate to leave, but i think i must. can you stay a little longer? i'm sorry, but i can't.",Request to extend visit denied due to time constraint.,"It's four o'clock in the afternoon, and i'm about to go home."
"can i see your parents some time tomorrow? sorry, they are too busy these days. how about this weekend? yes, i think so.","Request to visit Person A's parents is made, but it is initially declined due to their busy schedule; an alternative date of this weekend is agreed upon.",Can I see your parents for the weekend?
"happy thanksgiving! you, too. let's have pumpkin pie. it's my favorite.",Offering to share pumpkin pie on Thanksgiving.,"Happy Thanksgiving to you and your family, and to those of you reading this who are celebrating."
"are you going anywhere for your vacation? yes, we're making plans for a tour. that'll be lovely. where are you going? well start out from long island this friday. we've planned a four day drive to salt lake city, where we'll join my brother and his family on his fortieth birthday. well, you've got to prepare a lot of food and enough sleeping bags then. oh, we'll spend the nights in hotels and enjoy local food as we pass by. how does it sound, david? it sounds good. you can do a lot of sightseeing, too. yes, we'll take our time. and we'll go to five-lake strict and the wall street. so, you're going to have a really nice vacation. you can say that again.",The family is planning a four-day tour from Long Island to Salt Lake City for a relative's 40th birthday celebration. They will spend nights in hotels and enjoy local food while sightseeing at attractions like Five-Lake Strict and Wall Street.,"The BBC's David Walliams has been talking to his son, David, about his summer holiday."
"would you like to book a table, sir? yes, would you arrange it for me the day after tomorrow? sure, when? six o'clock in the afternoon. for how many guests, please? six. how much would you like to spend? we don't care about money. we'd like to have some good dishes of local specialties. ok. how many courses are there altogether, please? eight. could you tell me some of entrees about the dinner? sure. the main courses are roast beijing duck and fried eel slices. very good.","A reservation is made for six guests at a restaurant on the day after tomorrow at 6 pm. The guest doesn't care about spending money, they just want to try local specialties and enjoy eight courses, including roast Beijing duck and fried eel slices.",A Chinese restaurant in London has contacted the BBC to ask if it could arrange a dinner for one of its customers.
"did you watch tv last night, rose? yeah. i saw a science program. it was quite interesting. what was it about? mars. scientists say there might be water on it. if so, we may live there someday. i hope so. did you know the us successfully sent two robotic explorers to mars last month? sure. i heard about this on the tv. on january 3rd, 2004, explorer spirit landed near the so-called guser crater. and three weeks later, spirit's twin explorer, opportunity, landed on meridian planum named by scientists. yes. both have sent back pictures of the planet. and the latter did a better job.","Scientists may have found water on Mars, making it a potential place for humans to live someday. The US successfully sent robotic explorers to Mars last month, with one landing near Gusev crater and the other on Meridian planum, sending back pictures of the planet.",Did you know the us successfully sent two robotic explorers to mars last month?
"how is your job search going, janet? i found the ideal position. i  m working for a plumbing company. are you serious? you studied mathematics at college for four years, and now you have a job working with your hands! plumbing work requires mathematics knowledge, and creativity. i love this job. i can see that. but i didn  t know you had experience in that line of work. i didn  t, but i applied for an apprenticeship, and since i studied math, and i have a good attitude, my application was accepted. congratulations! you do have the right attitude.","Janet's job search is going well, with one of her ideal positions being a plumbing company job that she surprisingly landed despite studying mathematics in college.","In our series of letters from African-American journalists, one of them, janet, is looking for a job."
we are going to the concert this evening. will you join us? i'm very sorry i can't. why not? i've been snowed under with work since my boss was away on business.,Person A declines an invitation to a concert due to being overwhelmed with work.,It's a big night out for me and my friends.
"well, if it isn't the teacher's pet! stop it. teacher doesn't treat me any different than she does everyone else. you can't prove that by me. i saw the score on your report. hey, i worked hard on that report and i deserve the grade i got. it just happened to be the highest grade in the class. you're just jealous because you didn't do as well as you thought you did. admit it. i worked hard too. but she always gives me a lower grade. if you think that she is not fair with your work then you should talk to her in person instead of stewing over it.","Student defends their high grade, accusing peer of being jealous, and suggests talking to teacher directly about perceived unfairness.","If you have ever been jealous of someone else's teacher, then you might want to think again."
"you won one million yuan in a lottery. what will you say? i don't know. i'm too excited to say a word. i understand. it's too good to be true, isn't it? yes, too good to be true.","Person A has just won 1 million yuan in a lottery and is too excited to speak, while Person B agrees that the news is too good to be true.","You've won the biggest lottery in the world, but what do you do?"
"i was supposed to meet with you at half past one. yes, i see. what did you need to see me about? there's a problem with my schedule. what's the problem? two of my classes occur at the same time. well, i can see that's a problem. is it at all possible for you to fix that error? yes, i can. would you still like to have both of these classes? i want to keep both of them, if that's possible. well, let me find you one of these classes on a different day. thanks a lot.",The student had a scheduling conflict with two classes and asked for help resolving it.,A woman in her early 20s has a meeting with the head of her university's admissions department.
i went bungee jumping yesterday. that sounds like fun.,Person A had a thrilling experience doing bungee jumping.,"i've been thinking about going bungee jumping, but I don't know if I'm strong enough."
"hello, tom, are you free next sunday? i think so. why did you ask that? i'm going to have my first baby, so i plan to hold a baby shower next sunday. congratulations! why do people hold parties before the baby is born? it's the tradition. but baby showers as we know them today were not common until after world warri. in any case, i like baby showers, because they allow friends and family to share the joy and excitement of welcoming a new life into the world. so you will come, won't you? of course. i will prepare a good gift for the new arrival. thank you very much.","Person A asks Tom if he's free next Sunday, revealing they're planning a baby shower to celebrate their first child.","In our series of letters from African journalists, Nigerian film-maker and columnist Tomi Oladipo asks if he can host a baby shower for a friend who is due to give birth."
"what are you doing? what am i doing? what am i doing? don  t you know what day it is? mumm. no. it  s only the day when the world  s biggest sporting event is kicking off. what? the world cup! the first match is today! it  s mexico vs. south africa! it  s going to be a really good match! both teams have a very strong offense and have skilled players. i think that south africa will probably dominate the first half since they are the host country, and all. i have no idea what you  re talking about. the only sporting event we watch at home is the super bowl. this is bigger than the super bowl, man! teams from 32 countries compete against each other every four years and fight to win that trophy. they first start in a group stage with bigger groups, each group having 4 teams. the top 2 teams pass on to an elimination stage before going on to the quarter final sand semifinals. sounds interesting, but soccer doesn  t really appeal to me. are you kidding? over seven hundred million people watched the final match of the world cup! it  s a very exciting and nerve wracking sport! each nation is cheering on their team, hoping they will become the next champion. so far brazil is the team with the most titles under their belt ; they  re really good! all i know about soccer is that you can  t use your hands and that players are always falling down, trying to get a free kick or penalty kick. it seems like a sissy sport to me! whatever dude, i  m going to go watch the opening match.","The speaker is excited about the start of the World Cup, a major international soccer tournament, and is disappointed that someone else doesn't share their enthusiasm. They explain the format of the tournament and its global popularity, but the other person remains uninterested, viewing soccer as a sissy sport.",It  s the opening day of the football world cup!
we have absolute proof that you committed the crime. that's absolutely ridiculous!,Denial of committing a crime.,The BBC has said it will not be publishing the names of the people it believes were involved in a sex attack on a schoolgirl in the UK.
"where can i get the information, kate? ask john. he is sure to know about it. why? he has a finger in the pie.",Person A seeks information and suggests asking John because he has relevant knowledge.,The BBC's Kate O'Neill has been in touch with the BBC News website to find out if there is a way to get the BBC to reveal the location of the BBC's headquarters in London to the public.
that was a tough question. how did you get it right? i just took a shot in the dark.,"Question difficulty discussed, with no clear method used to arrive at correct answer.",How do you know when you've taken a good shot?
"there  s a letter here for you. let me see it. what  s the letter about? it  s a letter from nyu. tell me what it says! i didn  t get in. you  re lying. i  m not lying. are you upset? i had high hopes for nyu. i  m sorry you didn  t get accepted. hopefully, i  ll get accepted to ucla.","A person receives a letter from NYU and learns they were not accepted. They express disappointment and surprise, and their friend offers condolences while also sharing hopes of getting accepted into UCLA.","There  s a letter in the post for you, and it says you didn  t get in to nyu."
"the final examination will be held at the end of this month. have you made good preparation? sure. i've reviewed all the lessons i have learned this academic year. are you sure you can do well this year? i am 100 % certain. according to what you did last time, i have my doubts. i am sure i can get a 95 this time.",The student is confident they will perform well in their final examination at the end of the month due to good preparation and past experience.,Do you know what you have to do to get a 95 in your GCSEs?
what? how could you forget to reserve the concert tickets? i'm sorry. i forget all about it. how could you? i reminded you just this morning. it's leap my mind. i really feel terrible about it. i have been looking forward to this performance all month. i'm really sorry i let you down. i'll make it up to you somehow.,"Person A apologizes for forgetting to reserve concert tickets, expresses regret and disappointment, and promises to make it up to someone they let down.","It's been a long time since i last spoke to you, but now i have to tell you something."
"did you hear what happened to mike last night? no, what? well, apparently he had too much to drink and got into some kind of trouble. typical, isn't it? oh, no. what kind of trouble? well, i don't know the details, but...",Mike had too much to drink and got into trouble.,Did you hear the news about mike?
"did you hear? the state is thinking of legalizing gambling in our city! soon we are gonna have amazing hotels and casinos here which will be good for our business! are you serious? gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain! it disgusts me. what are you talking about? how does it exploit people? well, to begin with, gambling is addictive, ruins marriages, destroys families and bankrupts communities. once you are addicted it is very difficult to stop. people have lost their houses, cars and been left out on the street after becoming addicted. secondly, it exploits because men become addicted to gambling most often because of the action and risk. women gamble to escape, and senior citizens will start gambling for the social interaction. underage gamblers often start gambling on sports with friends and then illegal bookies. geez! now that i think about it, maybe legalizing gambling isn  t such a good idea! although, i have been to las vegas, and i didn  t become addicted or anything like that. you cannot predict who will become addicted to gambling. now excuse me, i have a protest rally to organize!","The state is considering legalizing gambling in their city, which would bring in new hotels and casinos. One person strongly opposes this idea, calling it a ""vice industry"" that preys on human weakness. They argue that gambling is addictive, ruins families, and exploits people by targeting specific demographics such as men, women, and seniors.",Gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain!
i'm tired of you always wearing my clothing! aren't you the pot calling the kettle black? you're wearing my pants right now!,"Person A expresses frustration over someone else frequently borrowing their clothes, pointing out hypocrisy since they are currently wearing one of those items.",This is what it looks like when you're not wearing your own clothes.
"i  m sure it will be wet when we arrive. yes. i dare say it will be. it will be sunday so i expected everything will be closed. no. i don  t think that  s possible. some places are sure to be open. but the bank should be closed so we shouldn't to be able to get any money. mmm, you may be right. do you think we  ll need our overcoats? no. we couldn  t possibly. why not? it will be summer. so it will be hot. is that very likely in england? yes. it could happen.","It's expected to rain on Sunday, with some businesses and the bank closed. Despite this, there are still places open. The conversation also mentions the possibility of hot weather in England, making overcoats unnecessary.",Do you think we  ll be able to get anywhere in the UK when we get there?
let's do something really nice for our family this christmas. what did you have in mind? i don't know yet. i just know i want to get out of the mindless gift trap. i know what you mean. i want to give a gift that is really meaningful. or do something that shows we have spent time thinking about them. or what only we are able to give them.,"The couple wants to give a thoughtful and meaningful gift to their family this Christmas, rather than just buying something arbitrary.",It's that time of year again when we all start to think about what we are going to give our loved ones for Christmas.
"uh... that's greek to me. that means they have tapered legs. well, mine are baggy. they're the kind of pants you can lounge around in. mine are, too. so maybe we shouldn't go out after all. yeah. let's just lounge around!","Person A doesn't understand a reference to ""Greek"" legs and instead describes their own baggy pants, suggesting they may not want to go out due to similar attire.","I'm going out with a friend today and she's wearing these pants that are called ""tapered legs""."
"thanks. sometimes talking with a friend is a great way to get over something. do you mind if i vent a little bit? of course not. if you're feeling bad and want to let your emotions out, you can just say whatever you want to me. great, because i am really mad at william. i mean, what kind of an idiot wouldn't be able to appreciate a smart, beautiful woman like me? anybody who would be friends with that guy has to be really dumb. uh, a... you know i'm friends with william. oh right... present company excluded, of course!","Person A seeks emotional release and vents frustration towards someone (William) for not appreciating their qualities. The conversation reveals a friend's friendship with William, but also acknowledges exceptions for close relationships.","In case you missed it, here is the text message exchange between me and my friend william:."
mary is really a diligent girl. what do you mean? she learns to speak latin by osmosis within three months. she is really something.,"Mary is exceptional, having learned Latin through osmosis within just three months.",This is the story of a schoolgirl who is learning to speak latin by osmosis.
"hello, this is david. hi david, this is marge. can you meet me after work for a few minutes? sure! how about the coffee shop right across the street from my office? that will work. does five thirty work for you? that will be fine. what i have to show you will only take a few minutes of your time. is it the plans for my new house? yes. i just need to double check a few details with you.","David agrees to meet Marge after work at a coffee shop across from her office to discuss plans for Marge's new house, specifically to double-check some details.","Marge and her husband, David, have been talking on the phone for the second time in as many days."
"i feel like going for a drink, it's been a long day. great idea! peter, i could use the drink. how about the new bar across road? sounds good. the food there is fantastic too. i agree, i had lunch there last week. excellent! that sounds like a plan.","The speaker suggests going for a drink after a long day and Peter agrees. They decide to go to the new bar across the road, which they both find has great food as well.","Peter, I'm at work in the city centre and I'm feeling a bit unwell."
"i have an idea for christmas this year. what is it? let's not exchange any gifts at all. you big scrooge! hear me out. we can pool the money and give it to a family who could really use it! but you may have some trouble convincing the kids. actual 1y, it was their idea first. now we know that they realize the real meaning of christmas.","The speaker proposes an unconventional Christmas idea where everyone abstains from exchanging gifts and instead donates the money to a family in need, inspired by the kids' initial suggestion.","It's that time of the year again, and i'm feeling a bit like a scrooge."
"do you know anything about dr. miller's classes? yes. are you in his class? i'm thinking of taking his class next semester. he really knew his stuff, but he graded hard. would that be ok? yes, i really need someone who is really good. i didn't find it overwhelming to earn a good grade if you work at it. can you do that? maybe, but i'm not sure. man, this guy was so funny when he was teaching. i like that, don't you? no, that stuff isn't important to me. did you know that he is a fairly new teacher and very current in his field? i don't care about any of that. we all are looking for different things in an instructor. i hope i've helped you.","Person A seeks advice on Dr. Miller's classes, specifically whether they are good or not. Another person shares their experience with the class, highlighting Dr. Miller's expertise but also strict grading. They mention that he is a funny teacher and new to teaching, but these points aren't crucial for the seeker.","A few weeks ago, i was talking to a friend about a professor at my university who was really good at his job."
"hey, ben... did you catch the game last night? uh... what game? baltimore defeated texas by 17 points! um... and what sport are we talking about here? football of course! oh... football. football is cool. i usually try to catch the world cup finals. no, i'm talking about american football. the world cup is soccer. oh, i understand. i can't say i'm a big fan. i'm from china, and football doesn't have a really big following over there. so chinese people prefer soccer or basketball? yes, i think so. but to be perfectly honest, i'm not really a sports nut.when i was in high school i played on the school volleyball team. are you a diehard football fan? oh, certainly. i wouldn't miss a game for the world. my girlfriend says i have an addiction. and actually, if i had to choose between her and my games... i'd probably pick football. it seems americans are very passionate about sports. is this just a part of your culture? oh, yeah! i think the love of sports starts when kids are very young. americans come from many different backgrounds so i guess sports are something we can all enjoy together.","Ben and someone discuss American football, with Ben revealing he's a diehard fan. He shares that his girlfriend says he has an addiction to watching games. They also touch on how Americans are passionate about sports and how it's part of their culture.",Here's a Q&A with ben from BBC Radio 4's Today programme.
"julia, what's the weather forecast for tomorrow? it says a storm may come tomorrow. oh! i hate rainy days! me, too. i'm always in low spirits when it rains. are you going out tomorrow? yes. i have to drive to washington d. c. what bad luck! yeah! but you know sometimes the weather forecast is not correct. maybe tomorrow is a clear day. who knows? yeah, maybe you are right!","Julia and another person discuss the weather forecast for the next day, which predicts a storm. They both dislike rainy days and express low spirits when it rains. The other person has to drive to Washington D.C., but they also mention that weather forecasts can be incorrect and tomorrow might actually be a clear day.","Julia and i were talking on the phone this morning, and she asked me some questions about the weather."
where would you like to have your dinner? i don't care as long as it's a chinese restaurant. you don't like western food? i really find chinese dishes more to my taste.,Person A prefers Chinese restaurants for dinner due to personal taste.,Where would you like to go for dinner if you had the choice?
"thanks for offering to give me a lift. i'm looking forward to this party, but i didn't want to go alone. don't mention it. it's my pleasure. have you been to one of these large, sit-down dinner parties since you got to new haven? no, this is my first. last week i went to a cookout 5 for new professors at dean barksdale's home. i took a taxi because i didn't want to be late. but i was the first one there. i'll bet you were a little embarrassed. you're right. the invitation said two to seven. i was there at two o'clock, but most people didn't arrive until three or four. they didn't start cooking until five o  clock. cookouts often start slowly. a two o'clock start means you arrive any time after two. thanks for telling me this. i was late getting back from the mall, but i'm hurrying. why are you in such a hurry? they said, dinner at eight, and it's only seven-fifteen. i don't want to be the first one there again. don't worry. we won't be the first.","The speaker thanks someone for offering a ride to a party, mentioning they didn't want to attend alone. They share their experience at a previous dinner party and discuss the common habit of late arrivals.","In case you missed it, here's a transcript of an interview with a student from new haven, who was invited to a dinner party at a professor's home."
that  s really a let-down. yeah. he really does let me down. but that should not be the reason for you to lose heart. i  m at the end of tether. i run out of ideas.,"Person A feels disappointed and frustrated with someone who consistently lets them down, but they also acknowledge it's no excuse to give up.","A few days ago, I was talking to a friend and she said,   Â£10,000 is a lot of money for me to spend on a relationship."
"some people are always closing their handsets, so it's difficult to inform them. why not send them short messages? can short messages reach them? short messages will be kept in the short messages center. once they open the handsets they will receive them, which is better than you can't find them. why haven't i thought of this skill? i use short messages quite a lot. if it's not too complicated i will send a short message, which can save much phone charge. i am informed that many people used short messages to pay a new year call, and only on the spring festival it amounted to 1 billion this year, didn't it? i almost can't live without messages, from which i learn about weather forecasts and stock quotations.","Some people frequently close their phones, making it hard to reach them. Sending short messages could be a solution, as they'll be stored in the center until opened. This approach has benefits, including saving phone charge. The speaker uses short messages often and notes that many others do too, citing an example of 1 billion messages sent during a recent holiday period.","Some of you use your mobile phones a lot, and sometimes you don't know where to send a short message."
"hey, sorry to be late. what happened to you last night? you didn  t show up. my mother was ill. i had to look after her. i  m so sorry to hear that.",Person A apologizes for being late and explains they were unable to attend due to their mother's illness.,"A few weeks ago, i was at a party with a group of friends, and one of them, a young man, started talking to me."
"hi! how are you going? fine, thank you. how are you doing this morning? not bad. how about you? haven't seen you for a long time. yes. i've been to new york. i got back only yesterday. did you enjoy yourself? very much. new york is such a nice place. shall i show you some photographs? thanks, i like looking at photographs. how nice! oh, i'm afraid i must be going now. i've got an appointment. have a good day. you too. i hope to see you soon. goodbye. goodbye.","The speaker catches up with someone they haven't seen in a long time, discussing their trip to New York and sharing photographs. The conversation ends abruptly as the speaker has an appointment and must leave.","A letter from a young girl to her mum, asking her to send her some photographs of her trip to New York."
"my goodness! what happened? you have blood on your face. oh, don't worry. i just killed a pigeon. how could you have the heart to kill it? we only have one! it spoiled my painting!","The person is shocked and upset that someone has killed a pigeon, which they consider to be their last one, and also damaged their artwork as a result.",This is what happened when a pigeon was killed by a paintbrush in the kitchen of a house in America.
"how annoying! what's the matter? every time i try to start this program, the computer freezes. maybe there's something wrong with the program.",Frustration with a program that consistently freezes when started.,How do you stop your computer from freezing when you start it?
i heard that james was fired because he got a keep back of 20 thousands dollars from a vender. that  s open secret. but mine could be a lie for his job. how did you know that? a little bird whispered to me. keep that to yourself.,"Rumor about James' termination due to receiving a $20,000 check from a vendor.","A little bird whispered to me, keep that to yourself, it could be for your own good."
"who did the stupid thing? it must be kate. no, i don't think you're right.kate never does things like that.it must be a naughty boy who did it.","Two people discuss who is responsible for doing something wrong, with one person initially suggesting it was Kate's fault, but then changing their mind and guessing it was actually a mischievous boy's doing.",Who did the stupid thing that happened at the end of last week's game?
"hello? hi tina, it's joe. hi joe. how's the weather there today? it's really cold. it snowed all day and the schools closed early. what's the temperature? it's 30 degrees now. it was even colder this morning. have you heard what the weather is going to be like tomorrow? i was watching the news a little earlier. they said it's probably going to snow tomorrow. i really don't like the winter. i wish it were summer. me too. how's the weather where you are? it's not too bad, but it's pretty cold here too. it was about 45 today and it rained this afternoon. i heard it's going to be a little warmer tomorrow.",The conversation discusses the weather with both parties agreeing that they dislike winter and wish for summer.,"Hello, my name is Tina and i'm from the US state of Wisconsin."
mike promised to help us. mike? how can you trust him to help us? why not? he is too unpredictable. he says anything that pops into his head. and then he forgets it all.,"Person A expresses skepticism about Mike's reliability, citing concerns over his unpredictability and tendency to make impulsive statements that are later forgotten.","Maggie and her friends are sitting on the floor, waiting for Mike to come home from work."
"tom, i've got good news for you. what is it? haven't you heard that your novel has won the nobel prize? really? i can't believe it. it's like a dream come true. i never expected that i would win the nobel prize! you did a good job. i'm extremely proud of you. thanks for the compliment. you certainly deserve it. let's celebrate!","The winner of the Nobel Prize is thrilled and surprised to have won, feeling like it's a dream come true. They express gratitude and pride in their achievement, with others congratulating them on their success.","Tom Hiddleston has been talking to BBC Radio 4's Today programme about his novel, The Nobel Prize, which has won the prize for fiction."
"tom! how are you? we missed you at the party last night. are you ok? i don  t know. i didn  t really feel like going out. i guess i  m feeling a little homesick. come on. we  ve been through this already! look, i know the adjustment was hard when you first got here, but we agreed that you were gonna try and deal with it. i was. it  s just that the holidays are coming up and i won  t be able to home because i can  t afford the airfare. i  m just longing for some of the comforts of home, like my mom  s cooking and being around my family. yeah, it can get pretty lonely over the holidays. when i first got here, i  d get depressed and nostalgic for anything that reminded me of home. i almost let it get to me, but then i started going out, keeping myself busy and before i knew it, i was used to to it. i see what you mean, but i  m still bummed out. ok. how does this sound, let  s get you suited up and hit the dance club tonight. i hear that an awesome dj is playing and there will be a lot of pretty single girls there! you know, i could really go for that. you don  t mind being my wingman for tonight? not at all! it be fun! it will be like a boys  night out... well kinda... great! i must warn you though, whatever happens, don  t let me go on a drinking binge. trust me, it  s not a pretty picture!","The person is feeling homesick and nostalgic for their family's cooking during the holiday season, as they won't be able to afford airfare to visit home. They reflect on how they initially felt lonely and depressed when adjusting to life abroad, but eventually became busy and accustomed to it. A friend suggests going out to a dance club with them as a wingman, to help take their mind off things and enjoy the night together.",Tommy's phone rings and he answers it with a text message.
"there was something wrong with the plane last thursday. which flight? flight 198. fortunately, there were few passengers. how about the passengers? well, all the passengers and crew members landed on their feet finally.","Flight 198 experienced issues last Thursday, but fortunately, it had few passengers, and everyone - including crew members - safely landed.",There has been an incident on a plane in the skies over the UK.
"there are some things i miss. but i love chinese food.and i think the people in taiwan are really hospitable.besides, i grew up in los angeles, so i'm used to living in crowded places.why are you going to america? i'm going to new york to visit my sister. she is in art school. i've never been to new york before. i'm kind of scared. why? well, i know a lot of people have guns there. i think maybe it isn't too safe. don't worry about it.your sister lives there. she probably knows the places in town you shouldn't go.it ' s true there are some dangerous places in big american cities.but if your sister lives there, she must know the city pretty well already. yes, i'm not really scared. maybe only a little. don't believe what you see on tv. you will have a good time in new york.what things do you want to see? i want to see the museums, and i want to shop a lot. the museums are excellent. and the shopping! well! i'm sure you'll spend a lot of money there. hmm. i hope not.","The speaker expresses their love for Chinese food and Taiwanese people's hospitality, sharing that they're used to living in crowded places since growing up in Los Angeles. They're visiting New York to see their sister in art school, but are initially scared due to concerns about gun safety. Their friend reassures them that their sister knows the city well and advises not to believe what's shown on TV. The speaker is looking forward to seeing museums and shopping in New York.","There are a lot of things i miss about taiwan, but i don't think i would miss living in america too much."
"i'm thirsty. pull over to that store, i'll buy some drinks. i'm afraid i can't. parking is not allowed here. oh, that's too bad, where can you park around here? there is a square in front of us. we can park the car there. is a shop there? i'm not sure, you know i'm not familiar with the city, too.","Person A is thirsty and wants to buy drinks, but cannot due to parking restrictions. They are unable to find a suitable alternative location nearby because they are unfamiliar with the city.","We're driving through a city in the south of France, and we're getting hungry."
do you think i should ask bob to help? will he come? no problem. you know him. he  s the kind of guy that  s always willing to go the extra miles. that  s right. but i have bothered him several times. i bet he will come.,"The speaker considers asking Bob for help, thinking he'll be willing to assist due to his helpful nature, despite having asked him multiple times before.",Do you think it would be a good idea for me to go to a friend's house and ask him to help me with some of the work I need to do?
did you have a good weekend? well i wanted to go for a picnic but it rained too much. oh i see. so what did you do then? i washed my car instead. ahh. and how about on sunday? did you watch the football? no i didn  t. i worked in the morning then i played tennis with my husband.,"The speaker had plans to go for a picnic but it rained, so they washed their car instead. On Sunday, they worked in the morning and played tennis with their husband.",Did you watch the football on Saturday? no i didn  t.
what do you want for your birthday from your parents? i don't know. maybe a pair of new shoes. why don't you ask them to buy you a pc? you will soon use it at college. that's a dandy idea. thank you for reminding me.,"The conversation revolves around gift ideas for someone's birthday, with suggestions being made and appreciated.",What do you want for your birthday from your parents?
"your husband is very helpful, isn't he? willing to help, maybe, but not as helpful as you think. really? last night he told the children acliff-hangerstory and both of them were scared out of sleep.",The conversation discusses someone's husband being unhelpful in certain situations.,A woman has written to the BBC asking for advice on how to get her children to sleep at night.
"doesn't she have any friends? if she has, they must be fair-weather friends. such friends are even worse than enemies. she'd better keep away from them.","Person A expresses concern about someone not having close friends, suggesting that any acquaintances they may have are superficial and potentially harmful.",Doesn't she have any friends at home?
