Conversation,Summaries
I'm tired of you always wearing my clothing ! Aren't you the pot calling the kettle black ? You're wearing my pants right now !,"The speaker is frustrated with someone else's constant use of their clothes. They point out the irony that this person is currently wearing one of their own articles of clothing, specifically their pants."
"I ’ m sure it will be wet when we arrive . Yes . I dare say it will be . It will be Sunday so I expected everything will be closed . No . I don ’ t think that ’ s possible . Some places are sure to be open . But the bank should be closed so we shouldn't to be able to get any money . Mmm , you may be right . Do you think we ’ ll need our overcoats ? No . We couldn ’ t possibly . Why not ? It will be summer . So it will be hot . Is that very likely in England ? Yes . It could happen .","The speaker and someone else discuss their upcoming arrival on Sunday, expecting it to be wet due to the weather. They also expect many places to be closed, including banks, making it difficult to get money. However, they acknowledge that some places might still be open. The speaker questions whether they'll need overcoats, concluding it will be summer and therefore hot, which is possible in England."
Let's do something really nice for our family this Christmas . What did you have in mind ? I don't know yet . I just know I want to get out of the mindless gift trap . I know what you mean . I want to give a gift that is really meaningful . Or do something that shows we have spent time thinking about them . Or what only we are able to give them .,"The conversation revolves around planning a thoughtful and meaningful gesture for family members this Christmas, aiming to break free from the usual routine of generic gifts. The speaker wants to give a gift that is truly special and reflects their personal connection with each family member, rather than just buying something without much thought."
"Uh ... that's Greek to me . That means they have tapered legs . Well , mine are baggy . They're the kind of pants you can lounge around in . Mine are , too . So maybe we shouldn't go out after all . Yeah . Let's just lounge around !","The conversation is about two people discussing their clothing. One person says they have ""Greek"" (referring to tapered legs) while the other has baggy pants meant for lounging. They decide not to go out and instead choose to stay in and relax."
"Thanks . Sometimes talking with a friend is a great way to get over something . Do you mind if I vent a little bit ? Of course not . If you're feeling bad and want to let your emotions out , you can just say whatever you want to me . Great , because I am really mad at William . I mean , what kind of an idiot wouldn't be able to appreciate a smart , beautiful woman like me ? Anybody who would be friends with that guy has to be really dumb . Uh , A ... you know I'm friends with William . Oh right ... present company excluded , of course !","The conversation starts with the speaker wanting to vent about something. They're feeling mad at someone named William, who they think is an idiot for not appreciating them (describing themselves as ""smart"" and ""beautiful""). The speaker is frustrated that anyone would be friends with William, implying that those people must be ""really dumb"". However, it's revealed that the speaker knows William personally, specifically mentioning that they're friends with him (excluding the current conversation)."
Mary is really a diligent girl . What do you mean ? She learns to speak Latin by osmosis within three months . She is really something .,"The speaker praises Mary for her exceptional ability to learn, specifically mentioning that she was able to learn Latin by osmosis within just three months."
"Hello , this is David . Hi David , this is Marge . Can you meet me after work for a few minutes ? Sure ! How about the coffee shop right across the street from my office ? That will work . Does five thirty work for you ? That will be fine . What I have to show you will only take a few minutes of your time . Is it the plans for my new house ? Yes . I just need to double check a few details with you .","David meets Marge at the coffee shop across from his office at 5:30 PM. Marge requests the meeting to review and confirm some details regarding David's new house plans, which will only take a few minutes of her time."
"I feel like going for a drink , it's been a long day . Great idea ! Peter , I could use the drink . How about the new bar across road ? Sounds good . The food there is fantastic too . I agree , I had lunch there last week . Excellent ! That sounds like a plan .","The speaker has had a long day and wants to go for a drink. They suggest going to a new bar across the street, which Peter agrees with because he had lunch there last week and found the food ""fantastic"". The plan is set."
"I have an idea for Christmas this year . What is it ? Let's not exchange any gifts at all . You big scrooge ! Hear me out . We can pool the money and give it to a family who could really use it ! But you may have some trouble convincing the kids . Actual 1y , it was their idea first . Now we know that they realize the real meaning of Christmas .","no gifts for themselves, but instead pooling money to give to a family in need. It's not entirely their own idea, as the kids initially suggested this approach to focus on the true meaning of Christmas. This innovative plan aims to spread kindness and generosity during the holiday season."
"Do you know anything about Dr . Miller's classes ? Yes . Are you in his class ? I'm thinking of taking his class next semester . He really knew his stuff , but he graded hard . Would that be OK ? Yes , I really need someone who is really good . I didn't find it overwhelming to earn a good grade if you work at it . Can you do that ? Maybe , but I'm not sure . Man , this guy was so funny when he was teaching . I like that , don't you ? No , that stuff isn't important to me . Did you know that he is a fairly new teacher and very current in his field ? I don't care about any of that . We all are looking for different things in an instructor . I hope I've helped you .","Student A shares their experience with Dr. Miller's class, saying he's knowledgeable but grades hard. Student B is considering taking the class next semester and asks if it's worth it. Student A notes that earning a good grade requires effort, but Dr. Miller's current knowledge in his field makes him a great teacher."
"Hey , Ben ... did you catch the game last night ? Uh ... what game ? Baltimore defeated Texas by 17 points ! Um ... and what sport are we talking about here ? Football of course ! Oh ... football . Football is cool . I usually try to catch the World Cup finals . No , I'm talking about American football . The World Cup is soccer . Oh , I understand . I can't say I'm a big fan . I'm from China , and football doesn't have a really big following over there . So Chinese people prefer soccer or basketball ? Yes , I think so . But to be perfectly honest , I'm not really a sports nut.When I was in high school I played on the school volleyball team . Are you a diehard football fan ? Oh , certainly . I wouldn't miss a game for the world . My girlfriend says I have an addiction . And actually , if I had to choose between her and my games ... I'd probably pick football . It seems Americans are very passionate about sports . Is this just a part of your culture ? Oh , yeah ! I think the love of sports starts when kids are very young . Americans come from many different backgrounds so I guess sports are something we can all enjoy together .","Ben discusses American football with someone, but they initially assume it's about soccer (World Cup). Ben reveals his passion for American football and says he wouldn't miss a game. He mentions that Americans are passionate about sports in general, which is rooted in their culture from a young age."
"Julia , what's the weather forecast for tomorrow ? It says a storm may come tomorrow . Oh ! I hate rainy days ! Me , too . I'm always in low spirits when it rains . Are you going out tomorrow ? Yes . I have to drive to Washington D . C . What bad luck ! Yeah ! But you know sometimes the weather forecast is not correct . Maybe tomorrow is a clear day . Who knows ? Yeah , maybe you are right !","The conversation starts with a discussion about the weather forecast for the next day, which predicts a storm. Both Julia and her friend express their dislike for rainy days. The friend has to drive to Washington D.C. despite the potential bad weather, but they both agree that the forecast might be incorrect and tomorrow could end up being a clear day."
Where would you like to have your dinner ? I don't care as long as it's a Chinese restaurant . You don't like Western food ? I really find Chinese dishes more to my taste .,"The speaker is considering where to have dinner and is open to suggestions, but only wants to go to a Chinese restaurant. They express a preference for Chinese cuisine over Western food."
"Thanks for offering to give me a lift . I'm looking forward to this party , but I didn't want to go alone . Don't mention it . It's my pleasure . Have you been to one of these large , sit-down dinner parties since you got to New Haven ? No , this is my first . Last week I went to a cookout 5 for new professors at Dean Barksdale's home . I took a taxi because I didn't want to be late . But I was the first one there . I'll bet you were a little embarrassed . You're right . The invitation said two to seven . I was there at two o'clock , but most people didn't arrive until three or four . They didn't start cooking until five o ’ clock . Cookouts often start slowly . A two o'clock start means you arrive any time after two . Thanks for telling me this . I was late getting back from the mall , but I'm hurrying . Why are you in such a hurry ? They said , Dinner at eight , and it's only seven-fifteen . I don't want to be the first one there again . Don't worry . We won't be the first .","The speaker thanks someone for offering to give them a ride to a party, mentioning they're looking forward to it but didn't want to go alone. The speaker has never been to a large dinner party in New Haven before and shares their experience at a previous cookout where they were early and others arrived later. They mention being embarrassed about arriving too early and appreciate the host's understanding. In this conversation, the speaker is hurrying because they don't want to be the first one to arrive at the current party and appreciate reassurance that they won't be."
That ’ s really a let-down . Yeah . He really does let me down . But that should not be the reason for you to lose heart . I ’ m at the end of tether . I run out of ideas .,"The speaker is expressing disappointment and frustration with someone who has consistently failed them. Despite this, they're urging themselves not to give up hope. The conversation takes a turn as they reveal feeling overwhelmed and stuck for ideas."
"Some people are always closing their handsets , so it's difficult to inform them . Why not send them short messages ? Can short messages reach them ? Short messages will be kept in the short messages center . Once they open the handsets they will receive them , which is better than you can't find them . Why haven't I thought of this skill ? I use short messages quite a lot . If it's not too complicated I will send a short message , which can save much phone charge . I am informed that many people used short messages to pay a New Year call , and only on the Spring Festival it amounted to 1 billion this year , didn't it ? I almost can't live without messages , from which I learn about weather forecasts and stock quotations .","The speaker notes that some people are always closing their phone, making it difficult to reach them. They suggest sending short messages instead, which will be stored in the short message center until the person opens their phone. This method can help save phone charge and ensure that important information reaches the recipient. The speaker is an avid user of short messages and appreciates its usefulness for staying informed about weather forecasts, stock quotations, and other updates."
"Hey , sorry to be late . What happened to you last night ? You didn ’ t show up . My mother was ill . I had to look after her . I ’ m so sorry to hear that .","their mother fell ill, requiring them to take care of her."
"Hi ! How are you going ? Fine , thank you . How are you doing this morning ? Not bad . How about you ? Haven't seen you for a long time . Yes . I've been to New York . I got back only yesterday . Did you enjoy yourself ? Very much . New York is such a nice place . Shall I show you some photographs ? Thanks , I like looking at photographs . How nice ! Oh , I'm afraid I must be going now . I've got an appointment . Have a good day . You too . I hope to see you soon . Goodbye . Goodbye .","The conversation starts with casual greetings and small talk. The speaker shares about their recent trip to New York, mentioning they enjoyed it very much. They offer to show photographs from the trip, which the other person appreciates. Unfortunately, the speaker has an appointment to attend to and must bid farewell, hoping to see the other person soon."
"My goodness ! What happened ? You have blood on your face . Oh , don't worry . I just killed a pigeon . How could you have the heart to kill it ? We only have one ! It spoiled my painting !","A person is shocked by another person who has blood on their face, revealing that they've killed a pigeon. The killer claims it was necessary to destroy the bird after it ruined their painting, implying a sense of despair or frustration over the loss."
"How annoying ! What's the matter ? Every time I try to start this program , the computer freezes . Maybe there's something wrong with the program .","The user is frustrated because every time they try to run a program, their computer freezes. They wonder if there might be an issue with the program itself."
I heard that James was fired because he got a keep back of 20 thousands dollars from a vender . That ’ s open secret . But mine could be a lie for his job . How did you know that ? A little bird whispered to me . Keep that to yourself .,"A rumor circulates that James was fired due to receiving a $20,000 kickback from a vendor. This information is allegedly common knowledge. However, the speaker expresses uncertainty about the truth of this claim, wondering if it's actually true or just a lie to tarnish James' reputation. The speaker learned this information through an anonymous source (""a little bird whispered to me"") and requests that others keep it confidential."
"Who did the stupid thing ? It must be Kate . No , I don't think you're right.Kate never does things like that.It must be a naughty boy who did it .","The speaker is discussing someone who did something ""stupid"" and is initially pointing to Kate as the culprit. However, they then change their mind and suggest it was actually a ""naughty boy"" who did the deed, implying that Kate would never be involved in such behavior."
"Hello ? Hi Tina , It's Joe . Hi Joe . How's the weather there today ? It's really cold . It snowed all day and the schools closed early . What's the temperature ? It's 30 degrees now . It was even colder this morning . Have you heard what the weather is going to be like tomorrow ? I was watching the news a little earlier . They said it's probably going to snow tomorrow . I really don't like the winter . I wish it were summer . Me too . How's the weather where you are ? It's not too bad , but it's pretty cold here too . It was about 45 today and it rained this afternoon . I heard it's going to be a little warmer tomorrow .","Joe and Tina discussed the weather. Joe reported that it snowed all day where he is, with temperatures around 30°F (-1°C), while Tina mentioned it was colder this morning. They both expressed dislike for winter and wished for summer."
Mike promised to help us . Mike ? How can you trust him to help us ? Why not ? He is too unpredictable . He says anything that pops into his head . And then he forgets it all .,"The speaker expresses concerns about trusting Mike to help them, citing his unpredictable nature. They claim that Mike often says things without thinking and then forgets what he said, making it difficult to rely on him for assistance."
"Hello , Ann ! Is that you ? Yes , it is . Hi , Tom ! It's a real surprise to see you here . It's been a long time ! What's new ? Nothing much . What about you ? Is everything going well ? Not bad I guess . I just got back from Hawaii . How was it ? I had a good time . You seem to be in a hurry . Don't let me hold you up . Sorry , I've got a meeting in half an hour . Ok , I won't keep you then . Great ! It's good to see you . Goodbye ! Yes , stay in touch . Bye ! Give me your email , would you ? Sure ! It's txyb@gmail.com .","Tom and Ann catch up after a long time, with Tom sharing that he recently returned from Hawaii. They exchange brief updates about their lives, but Tom mentions he has a meeting in half an hour and can't linger. Before parting ways, they agree to stay in touch and Tom shares his email address (txyb@gmail.com)."
"Tom , I've got good news for you . What is it ? Haven't you heard that your novel has won The Nobel Prize ? Really ? I can't believe it . It's like a dream come true . I never expected that I would win The Nobel Prize ! You did a good job . I'm extremely proud of you . Thanks for the compliment . You certainly deserve it . Let's celebrate !","Tom's friend reveals that Tom has won the Nobel Prize in Literature for his novel. Tom is shocked and thrilled by the news, expressing gratitude and humility towards the achievement. He is proud of himself and wants to celebrate the success with others."
"Tom ! How are you ? We missed you at the party last night . Are you OK ? I don ’ t know . I didn ’ t really feel like going out . I guess I ’ m feeling a little homesick . Come on . We ’ Ve been through this already ! Look , I know the adjustment was hard when you first got here , but we agreed that you were gonna try and deal with it . I was . It ’ s just that the holidays are coming up and I won ’ t be able to home because I can ’ t afford the airfare . I ’ m just longing for some of the comforts of home , like my mom ’ s cooking and being around my family . Yeah , it can get pretty lonely over the holidays . When I first got here , I ’ d get depressed and nostalgic for anything that reminded me of home . I almost let it get to me , but then I started going out , keeping myself busy and before I knew it , I was used to to it . I see what you mean , but I ’ m still bummed out . OK . how does this sound , let ’ s get you suited up and hit the dance club tonight . I hear that an awesome DJ is playing and there will be a lot of pretty single girls there ! You know , I could really go for that . You don ’ t mind being my wingman for tonight ? Not at all ! It be fun ! It will be like a boys ’ night out ... well kinda ... Great ! I must warn you though , whatever happens , don ’ t let me go on a drinking binge . Trust me , it ’ s not a pretty picture !","Tom is feeling homesick and struggling to adjust to his new environment. He's longing for comforts like his mom's cooking and family, especially since he won't be able to go home for the holidays due to financial constraints. His friend tries to cheer him up by suggesting a night out at the dance club, with the promise of meeting single girls. Tom agrees, but warns his friend not to let him get drunk, as it doesn't end well."
"There was something wrong with the plane last Thursday . Which flight ? Flight 198 . Fortunately , there were few passengers . How about the passengers ? Well , all the passengers and crew members landed on their feet finally .","Flight 198 experienced issues on Thursday, but due to fewer passengers, everyone was able to safely land after the incident."
"There are some things I miss . But I love Chinese food.And I think the people in Taiwan are really hospitable.Besides , I grew up in Los Angeles , so I'm used to living in crowded places.Why are you going to America ? I'm going to New York to visit my sister . She is in art school . I've never been to New York before . I'm kind of scared . Why ? Well , I know a lot of people have guns there . I think maybe it isn't too safe . Don't worry about it.Your sister lives there . She probably knows the places in town you shouldn't go.It ' s true there are some dangerous places in big American cities.But if your sister lives there , she must know the city pretty well already . Yes , I'm not really scared . Maybe only a little . Don't believe what you see on TV . You will have a good time in New York.What things do you want to see ? I want to see the museums , and I want to shop a lot . The museums are excellent . And the shopping ! Well ! I'm sure you'll spend a lot of money there . Hmm . I hope not .","The speaker discusses their fondness for Chinese food, Taiwanese people, and living in crowded places. They learn that the listener is going to New York to visit their sister, who's in art school. The listener expresses concern about gun violence and safety, but the speaker reassures them that with a local's knowledge, it's not too bad. The two discuss what they'd like to see/do in NYC, including museums and shopping."
"I'm thirsty . Pull over to that store , I'll buy some drinks . I'm afraid I can't . Parking is not allowed here . Oh , that's too bad , Where can you park around here ? There is a square in front of us . We can park the car there . Is a shop there ? I'm not sure , you know I'm not familiar with the city , too .","A person is thirsty and suggests stopping at a store to buy drinks. However, they discover that parking is not allowed in front of the store. They ask where else they can park and are directed to a nearby square where it's possible to park their car."
Do you think I should ask Bob to help ? Will he come ? No problem . You know him . He ’ s the kind of guy that ’ s always willing to go the extra miles . That ’ s right . But I have bothered him several times . I bet he will come .,"The speaker is considering asking Bob for help and thinks he will definitely say yes, as Bob is known for being very helpful. However, there's a concern that Bob might feel burdened since the speaker has asked him multiple times before. Despite this, the speaker still believes Bob will agree to help."
"Could you tell me what university you want to go to , John ? Pardon ? What university would you enter ? University ? Why ? You asked me last year . Oh , I forget.Sorry . I went to Harvard University . Did you ? And what course did you take there ? God save me ! Is there anything wrong with you ? Didn't I tell you ? I've not known.Perhaps , I've got a bad memory . I did a B . A . in economics.Remember ? Terrific ! B . A . , again and again-B . A .","The conversation starts with someone asking John which university he wants to attend. John then reveals that he went to Harvard University, where he earned a Bachelor of Arts (B.A.) degree in economics. The conversation seems to be an attempt to jog the speaker's memory about their previous discussion on this topic."
Did you have a good weekend ? Well I wanted to go for a picnic but it rained too much . Oh I see . So what did you do then ? I washed my car instead . Ahh . And how about on Sunday ? Did you watch the football ? No I didn ’ t . I worked in the morning then I played tennis with my husband .,"The conversation starts with a discussion about the weekend, where the speaker mentions they had planned to go for a picnic but it rained. They ended up washing their car instead. On Sunday, they didn't watch football and instead worked in the morning and played tennis with their husband."
What do you want for your birthday from your parents ? I don't know . Maybe a pair of new shoes . Why don't you ask them to buy you a PC ? You will soon use it at college . That's a dandy idea . Thank you for reminding me .,"The conversation starts with discussing birthday gifts, where the speaker is unsure what they want. They consider asking their parents for a pair of new shoes. Someone suggests asking for a PC instead, considering future college use. This idea resonates and sparks gratitude towards the suggestion."
"Your husband is very helpful , isn't he ? Willing to help , maybe , but not as helpful as you think . Really ? Last night he told the children acliff-hangerstory and both of them were scared out of sleep .","The speaker's husband is perceived as helpful, but in reality, he might not be as supportive as thought. In fact, last night, he told a cliffhanger story to their children, which left them scared and unable to sleep."
"Doesn't she have any friends ? If she has , they must be fair-weather friends . Such friends are even worse than enemies . She'd better keep away from them .","The speaker is expressing concern for someone who lacks genuine friendships. They suggest that if this person does have acquaintances, they would only be ""fair-weather"" friends who are unreliable and potentially detrimental to their well-being. The speaker advises the person to distance themselves from these superficial relationships."
"Let me get last week's notes . Yeah , sure , you didn't come to class that day ? I couldn't come . Why not ? I wasn't feeling well . Here they are . Thanks a lot ; are these all the notes ? Oh , no , this is the rest . Thank you very much . It's no problem at all .","The speaker asks someone to bring up last week's class notes because they missed that day. The person explains they couldn't attend due to not feeling well. The notes are then shared, and it's confirmed that this is only part of the notes, with more still needed."
"I wonder if you agree that money is not happiness . I don't entirely agree with you . Then how do you explain so many rich people committing suicide ? Well , that's a thing .","The conversation starts with a question about whether money can bring happiness, with the initial speaker doubting it. The respondent disagrees and notes the apparent contradiction with the high number of rich individuals who commit suicide."
He has worked five years in that bank . He must be an experienced accountant . You said it.Let ' s ask him to work in our bank . Great minds think alike .,"The speaker assumes someone at a different bank is an experienced accountant due to their 5-year tenure, and suggests asking them to join their own bank, implying that they share similar values or thinking (""Great minds think alike"")."
"Did you pass the test ? No , I didn't . I'm sorry to hear that .",The conversational partner did not pass a test and expressed regret about the outcome.
"I'm really curious . What is it like doing housework all day for a living ? It's a little like being a mom , only I get paid for it ! I still think that it is a bitstrange that you like to do that kind of thing . Most women would rather hire a maid . That's exactly why my business is doing so well ! How Ay clients do you have already ? Well , I've been in business for one month now and I have ten clients . Wow . Too bad I don't have a clue about housework . If you ever need a job , let me know . I can always train you .","A person is a professional housekeeper, doing housework all day for a living. They mention that it's similar to being a mom, but they get paid for it. The speaker finds it strange that someone would enjoy this job, and notes that most women would prefer to hire a maid instead. Despite not knowing much about housework themselves, the person is doing well in their business, having acquired 10 clients in just one month. They joke that if the listener ever needs a job, they could train them for the role."
"Hey , check out this new game I bought today . Wow ! It's a trivia game all about the Academy Awards . I know you love the Oscars . This game has some great questions about all types of movies . Does it have questions about foreign language films ? There's hardly any American films worth watching . Yes . In fact , one of the categories is on foreign language films .","The conversation is about a new trivia game purchased by the speaker, which focuses on the Academy Awards. The game features questions about various types of movies, including foreign language films, which are of interest to the speaker as they believe there are few American films worth watching."
"Hi , Mr . James , what ’ s the rush ? The bank closes in 30 minutes and I need to cash a check . I can lend you some money . Thanks . But it ’ s necessary for me to buy a TV set . Can I help you in anyway ? You can take me to the bank if you want to . Sure . Let ’ s go .","Mr. James needs to cash a check before the bank closes, but also wants to buy a TV set. He asks someone (likely a friend or acquaintance) for help and offers to borrow money from them. The person agrees to help Mr. James by going with him to the bank and lending him the necessary funds."
I am so sorry that I must be off now . My girlfriend told me I must arrive at her home in ten minutes or she will break up with me . She can cope with it . Don ’ t be such a wimp !,"The speaker is leaving due to an ultimatum from their girlfriend, who demands they arrive at her house within 10 minutes or else the relationship ends. The speaker's friend is trying to reassure them that the girlfriend can handle the breakup and shouldn't be worried about being ""such a wimp""."
"I ’ m sure that the boy will become nobody when he grows up . Be careful of what you say , or you ’ ll have to eat humble pie . Eat humble pie ? Impossible , I ’ Ve never been wrong in judging boys like him .","The speaker is confident that a certain boy will not amount to much as an adult. When someone else cautions them about making such predictions, the speaker dismisses their concern, saying it's impossible for them to be wrong since they've correctly judged other boys with similar characteristics."
"I've got a complaint about the noise next door . Yes , it's most irritating . Some people aren't very considerate . We're going to do something about it . Yes , I think so . We can't put up with it any more . We'll play the CD loud , is that all right ? I don't think so . What should we do ? Why don't we call them ? Good idea .","The speaker has a noise complaint about their neighbor, finding it extremely annoying. They're frustrated because some people aren't considerate of others' needs. The solution is to call the neighbor and address the issue directly."
"Jim , I heard you ’ Ve bought a new computer . Yes . Look , it is on my desk . Your office looks different with a computer . By the way , is it difficult to use a computer ? Not at all . It ’ s a piece of cake . A piece of cake ? Yes . It ’ s easy and convenient to use a computer . But it takes a long time to really master it .","Jim has bought a new computer, which is now on his desk. He thinks the office looks different with the computer there. When asked if it's hard to use, Jim replies that it's easy and convenient, comparing it to ""a piece of cake"". However, he notes that it takes time to really master using a computer."
"When I was at school , I was quite good at track and field events . I was on the school team for the long jump , 100 and 200 meter sprints and the javelin . Really ? I was quite good at the hurdles and the discus . I wish that I were good at the discus , but I could rarely throw it in the right direction ! I was awful . With the hurdles , I could never jump over them ! I thought you were good at the high jump ! No , I was good at the long jump . I liked the sprints best . Did you ever win any competitions ? I was regional champion for the 100 and 200 meters . I usually did well in the dong jump competitions , but I couldn ’ t compete with kids from other schools in the javelin . How about you ? I came second and third a few times in the regional championships , but I never won . Did you ever take part in the national championship for the sprinting events ? Yes , I did , but I didn ’ t do very well . I made the final in both events , but came last . At least I made the final . I was very pleased with that .","The speaker discusses their track and field experiences at school, mentioning they were good at the long jump, 100 and 200 meter sprints, and javelin. They struggled with discus and hurdles, but excelled in regional championships, winning as regional champion for the 100 and 200 meters."
"May I have an appointment with you tonight ? Very sorry , I am occupied tonight . What about tomorrow night ? OK . where and when ? 7:00 in my staying hotel . OK , I am going to the hotel to pick you up . See you tomorrow night .","A person asks for an appointment with someone, but it's not possible tonight. The other person suggests rescheduling for the next night (tomorrow). They agree on a time and location: 7:00 PM at the hotel where the first person is staying."
Do you think people still have faith in the government ? I don ’ t think so . Why is that ? The government will never fulfill their promise . So it is no wonder people cannot keep faith with it .,"The speaker expresses skepticism about people's trust in the government, believing that individuals have lost faith. They attribute this lack of faith to the government's inability to fulfill its promises, leading to a sense of betrayal and mistrust among citizens."
"How do you feel about teaching my friend how to read ? How old is your friend and why doesn't he know how to read ? He's 78 and he's a new emigrant from South America and he's never been to school . Does he even know how to speak English ? No . But I thought that you could start with reading and then go from there . That was very thoughtful of you to volunteer me . Come on . You're great at teaching and I know you will love him . He's adorable ! Oh , all right . Have him come over here for dinner . But you get to make dinner !","The speaker agrees to teach an 78-year-old emigrant from South America, who has never been to school and doesn't know how to read or speak English. The person's friend thought it was a good idea to start with reading and then move on to speaking."
"I've just had an argument with Bob . Really , who started the argument ? He did and it's his entire fault . Did you know it takes two to tango ?","The speaker has just had an argument with someone named Bob, whom they hold entirely responsible for starting. They acknowledge that the phrase ""it takes two to tango"" implies mutual involvement in conflicts, but still maintain that Bob was solely at fault."
"Hi , Stephanie . I hear you have a new job . Yes , I'm teaching math at Lincoln High School . So how do you like it ? Well , the salary is a little low , but the students are nice . How are things with you ? Not bad . You know I'm an air traffic controller now . Now that's an exciting job ! ! ! Yes , but it's very stressful .","Stephanie shares about her new job teaching math at Lincoln High School. She mentions that the salary is lower than expected, but enjoys working with the students. The conversation then shifts to the speaker, who has become an air traffic controller and describes it as both exciting and stressful."
"Tom and Helen got married at last . How did you know that ? I heart Tom ’ s father didn ’ t agree with that . I was invited to attend their wedding . It ’ s great . Although his father didn ’ t agree with that , Tom went through with it . How moving love is .","Tom and Helen got married despite Tom's father not agreeing with the union. The speaker was invited to attend the wedding, which they thought was great. Despite the disagreement, Tom went ahead with the marriage, showcasing the power of love."
I'm better now . Want to play again ? I'll let you break the balls this time . Let's get all the balls out of the pockets . OK . How much do you want to bet on this game ? You are crazy . Gambling is against my principles .,"The speaker has improved and wants to play again, offering their opponent the chance to break the balls. They agree to clear all the balls from the pockets. However, the conversation takes a turn when they discuss betting on the game, which the other person finds crazy and against their principles."
Give me a call tomorrow . Okay .,* We agreed to schedule a phone call for the next day (tomorrow).
"I really need a new pair of trousers . Do you ? Yes , I do . This one is very old now . They look all right to me . They ’ re not all right . They ’ re uncomfortable and they look terrible . All right . All right .","The speaker needs a new pair of trousers because their current ones are old, uncomfortable, and unflattering. The interlocutor also agrees that the old pants are not okay, but the speaker is hesitant to acknowledge the issue, saying ""they look all right"" despite the clear problems with them."
"Would you mind if I ask you whether you are married or not ? To be frank , I was married once , and now I'm single . Do you mean you got a divorce ? Yes , my first marriage was a failure .","The conversationalist asks me if I am married, revealing that they were previously married themselves (which ended in divorce). They share that their first marriage failed."
"what did you do over the weekend ? I went a global warming rally in London . It was fantastic to be around so many people who care about the environment . do you think there's anything we can do to reverse the damage that's been done already ? it might not be possible to fix the problems that we've created for ourselves , but there are lots of things we can do to prevent more damages from happening . like what ? well , we can use public transport instead of taking our cars for a start . what else can we do to protect the environment ? if you do have to drive , you should make sure that your car runs on unleaded petrol . Also , your home should use sources of renewable energy . how about recycling ? Does that actually help ? yes . You should take your glass , paper , plastic , cardboard , and tin cans to a recycling center . what do you think is the biggest worry for our future ? I think that the issue of greatest concern is having enough sources of clean water for everyone . I had no idea you were such as environmentalist before ! to be honest , in order for the earth to continue to be a habitable place , we're all going to have to become more interested in the environment .","The speaker attended a global warming rally in London, feeling inspired by the collective passion for environmental protection. They discussed reversing damage already done, acknowledging it may not be possible but emphasizing the importance of preventing further harm. Suggestions included using public transport, driving on unleaded petrol, and utilizing renewable energy sources at home. Recycling was also highlighted as an effective method. The speaker expressed concern about ensuring access to clean water for all. Overall, they emphasized the need for collective action to ensure a habitable future."
What a bother having to climb storeys home every day . But it's also a sort of exercise and it's good to your health . I don't care ! You're complaining again .,"The speaker is frustrated with the daily routine of climbing multiple floors to get home, but acknowledges that it has some physical benefits. They express indifference towards their own complaining nature."
"What do people usually do on Saint Valentine's Day ? On that day , boys are supposed to give roses to their sweethearts . What will the girls do ? They give chocolate in return .","On Saint Valentine's Day, boys typically show affection by giving roses to their loved ones, while girls reciprocate with gifts of chocolate."
"Excuse me , are you Dr . Smith ? Yes I am . And you ... I'm David , Joanna's husband . She has to be at work late today . So she asked me to pick you up here . So nice to meet you , David . Call me Bill . It's very nice of you to come here . My pleasure .","David, Joanna's husband, meets Dr. Smith and identifies himself as her husband. He explains that Joanna has to work late today, so she asked him to pick up Dr. Smith from this location. David introduces himself as Bill and expresses his pleasure at meeting Dr. Smith."
"Hey , Ann . You don't have a pen , do you ? Sure , here you go . Thanks . I don't suppose you have some paper , too . Of course . There you are . Thanks so much . I owe you one .","The speaker asks Ann if she has a pen, and when she doesn't, offers to lend her one. The conversation then shifts to asking for paper as well, which Ann also provides. The speaker expresses gratitude and acknowledges owing Ann a favor in return."
"Please excuse me , but I really have to be going . Yes , of course . It was nice to see you . It was nice to see you , too . And please give my regards to Mrs.Robbins .","The speaker is bidding farewell, mentioning it was nice seeing the other person. They also request that their regards be passed on to Mrs. Robbins."
"Hey Mark . What are you doing ? Just watching some TV . Anything interesting on ? Not really . Just watching the sports highlight on ESPN . So I take it you're pretty bored too . Just killing time until I find something to do . What are you going to do ? It's Saturday and we are sitting at home doing nothing . What's wrong with us ? You wanna shoot some hoops ? I already tried to call up some of the guys , but they are all busy . Where's your girlfriend ? I thought you were going out with her today . She's out shopping with her friends . Let's go to Starbucks and think of something to do then . Aright . Do you have any cigarettes ? I only have a couple left . Why don't you pick some up on the way . Ok . See you there in about 30 minutes . Aright . See you there .","Mark and friend are bored on a Saturday, wasting time watching TV. They discuss plans, with friend's girlfriend out shopping, and suggest going to Starbucks to think of something to do. Friend asks for cigarettes and agrees to pick some up on the way, meeting Mark there in 30 minutes."
"Bob's sister will go to America . Why tell me ? She has nothing to do with me ! I thought you wanted to know more about her . No , I couldn't care less !","The speaker's acquaintance wants to share information about Bob's sister going to America, but feels no connection or interest in her, as she has nothing to do with them. The speaker initially thought they wanted to know more about her, but now couldn't care less and doesn't see the relevance to their relationship."
